,COD_Munic,TX_PIB,TX_PER,PIB_21,PER_21
4254,4125100,3.710127332197888,2.663092856192489,579584.592,37735.83
4255,4125209,4.188680111959275,4.284632916270159,473363.777,52566.77
4256,4125308,1.8077962668998304,1.7856740403890792,401331.316,72507.92
4257,4125357,3.3014754008560243,4.136910830227469,145386.96,26281.08
4258,4125407,2.888368597926849,3.485809260368428,229800.501,37579.8
4259,4125456,1.5889037626990898,2.176779874316442,99036.431,27502.48
4260,4125506,-3.8907170134514724,-6.086514480212807,27009657.534,80717.4
4261,4125555,2.529721596300244,2.2515017062180065,62351.183,28799.62
4262,4125605,1.2410326864999766,0.015064280978765998,1516927.024,32181.24
4263,4125704,0.7786717827126255,0.11955090146376635,1470177.72,53082.67
4264,4125753,2.823874502655821,3.9720196295724817,247169.668,43023.44
4265,4125803,-0.30853963367660775,-1.1197672039258144,370139.672,33318.9
4266,4125902,2.5232070139798557,3.4252082002320994,90334.463,39882.77
4267,4126009,2.2460419163652934,2.0077073166976933,300170.138,33860.14
4268,4126108,-1.3242876468458509,-2.027046791340603,163479.764,28293.49
4269,4126207,2.7721185137111415,2.8247950870267657,153897.015,22942.31
4270,4126256,2.25849875370161,0.5656957747196489,2072896.508,20962.06
4271,4126272,-8.925685514522053,-9.892529143556711,786347.688,140973.05
4272,4126306,1.1447350866800932,0.6530503157588241,664822.477,34196.93
4273,4126355,1.3572019191835594,1.5937313164660738,291348.774,65324.84
4274,4126405,1.3032846614622562,2.4502601918442615,416472.911,80884.23
4275,4126504,2.0298265012778205,1.5694317076751785,690824.418,41980.09
4276,4126603,3.2268396576835334,1.8278879499039946,706594.773,32901.6
4277,4126652,4.583701341534264,6.120774495518439,158532.766,55046.1
4278,4126678,4.416028969694463,2.374314489461665,391609.541,25633.93
4279,4126702,1.077201674172662,0.08712722708582032,126327.728,24312.5
4280,4126801,0.5976685947247873,-0.516351807955584,496687.396,30138.8
4281,4126900,2.3335117846673468,2.978636577668042,153437.2,28143.29
4282,4127007,6.5399952688913405,4.542211069654018,616426.637,48305.51
4283,4127106,2.4499222311762825,1.136262549013023,4913582.582,60971.64
4284,4127205,3.165246915262099,2.3230986825845568,569456.876,32908.97
4285,4127304,0.7271915296367615,-0.30794436105374134,376188.978,22058.69
4286,4127403,2.0166850068104036,1.5964563830088707,893579.211,50881.4
4287,4127502,2.834987070054984,2.2216792526381814,1440118.79,69611.31
4288,4127601,-0.7816208108271105,-2.387613616028461,576416.793,33328.52
4289,4127700,3.269257666413994,1.4951471849851183,7482485.007,51745.73
4290,4127809,3.3350897814382385,4.579355724537754,324173.69,42105.95
4291,4127858,2.1063356987928716,1.95557955281353,435986.685,36223.55
4292,4127882,0.9394817030247304,-2.7021586736569847,144145.299,15551.33
4293,4127908,2.0259924159265252,2.2495776548553,233741.206,27492.5
4294,4127957,2.559782377753661,2.445594751028862,431452.275,53232.85
4295,4127965,3.251282162039071,3.8148890382303957,601652.455,46362.98
4296,4128005,6.29484414026924,6.638469781646389,1713999.651,82368.19
4297,4128104,2.0138297522160675,0.9205786257647564,4103803.77,36183.64
4298,4128203,2.3081537705369137,1.3903405443256633,1959262.135,33607.71
4299,4128302,3.505736413039223,2.9434527460579227,99889.029,38081.98
4300,4128401,3.656434427923305,3.8662583635082184,367868.336,32748.89
4301,4128500,4.8893394927633,4.873698897638917,711253.788,36742.11
4302,4128534,-0.4103005836943008,-2.332138454273225,347628.28,28338.49
